IC_GROUP0;IC_GROUP1;IC_GROUP2;IE_NAME;IE_CODE;IP_PROP57;IP_PROP49;IP_PROP56;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
Hu-Friedy;Боры-трепаны;;TRMGRIFF;trmgriff;Хирургия;HU-FRIEDY;Германия;Трепан, внутренний диаметр 8 мм.;;rmt11714157274038341.jpg;rmt11714157274038341.jpg
Hu-Friedy;Боры-трепаны;;TRE080M;tre080m;Хирургия;HU-FRIEDY;Германия;Трепан, внутренний диаметр 6 мм.;;rmt316952124495929057.jpg;rmt316952124495929057.jpg
Hu-Friedy;Боры-трепаны;;TRE060M;tre060m;Хирургия;HU-FRIEDY;Германия;Трепан, внутренний диаметр 4 мм.;;rmt18864798981746768278.jpg;rmt18864798981746768278.jpg
Hu-Friedy;Боры-трепаны;;TRE040M;tre040m;Хирургия;HU-FRIEDY;Германия;Трепан, внутренний диаметр 2 мм.;;rmt1673440165306166296.jpg;rmt1673440165306166296.jpg
Hu-Friedy;Боры-трепаны;;TRE020M;tre020m;Хирургия;HU-FRIEDY;Германия;Трепан, внутренний диаметр 12 мм.;;rmt2075487386718637689.jpg;rmt2075487386718637689.jpg
Hu-Friedy;Боры-трепаны;;TRE0120M;tre0120m;Хирургия;HU-FRIEDY;Германия;Трепан, внутренний диаметр 10 мм.;;rmt13902485561857381302.jpg;rmt13902485561857381302.jpg
Hu-Friedy;Боры-трепаны;;IMS-1372T;ims-1372t;Хирургия;HU-FRIEDY;Германия;Подставка IMS с высокой крышкой для дезинфекции и стерилизации трепанов, сверл, штифтов 84х62х22мм.;;rmt694249149164230287.jpg;rmt694249149164230287.jpg
Hu-Friedy;Боры-трепаны;;IMS-1372SH;ims-1372sh;Хирургия;HU-FRIEDY;Германия;44х33х22 мм подставка IMS для дезинфекции и стерилизации 6 боров, короткая.;;rmt11570192262141842772.png;rmt11570192262141842772.png
Hu-Friedy;Боры-трепаны;;CBFL112;cbfl112;Хирургия;HU-FRIEDY;Германия;3 Lindemann длинный.;;rmt7073065711185362713.jpg;rmt7073065711185362713.jpg
Hu-Friedy;Боры-трепаны;;BURL3;burl3;Хирургия;HU-FRIEDY;Германия;2 Lindemann средний.;;rmt4832624331778045759.jpg;rmt4832624331778045759.jpg
Hu-Friedy;Боры-трепаны;;BURL2;burl2;Хирургия;HU-FRIEDY;Германия;1 Lindemann короткий.;;rmt16721360982102165981.jpg;rmt16721360982102165981.jpg
Hu-Friedy;Боры-трепаны;;BURL1;burl1;Хирургия;HU-FRIEDY;Германия;Шаровидный бор с алмазным покрытием.;;rmt495131744806608332.jpg;rmt495131744806608332.jpg
Hu-Friedy;Долота;;CL846;cl846;Хирургия;HU-FRIEDY;Германия;#55 Kramer-Nevins долото 5,5 мм.;;rmt1592612035469610910.jpg;rmt1592612035469610910.jpg
Hu-Friedy;Долота;;CKN55;ckn55;Хирургия;HU-FRIEDY;Германия;#3 Kramer-Nevins долото 3 мм.;;rmt17789220261788943158.jpg;rmt17789220261788943158.jpg
Hu-Friedy;Долота;;CKN3;ckn3;Хирургия;HU-FRIEDY;Германия;Долото 4х135 мм.;;rmt1427400742915481059.jpg;rmt1427400742915481059.jpg
Hu-Friedy;Долота;;CBFL214;cbfl214;Хирургия;HU-FRIEDY;Германия;Долото 6х135 мм.;;rmt1972613933825523982.jpg;rmt1972613933825523982.jpg
Hu-Friedy;Зажимы;;ILHH;ilhh;Хирургия;HU-FRIEDY;Германия;Halsted-Mosquito 12 см/43/4“ прямой;;rmt733358250923166558.png;rmt733358250923166558.png
Hu-Friedy;Зажимы;;H4;h4;Хирургия;HU-FRIEDY;Германия;3 Halsted-Mosquito 12 см/43/4“ изогнутый;;rmt1145345301364141140.jpg;rmt1145345301364141140.jpg
Hu-Friedy;Зеркала;;SRTZ04;srtz04;Хирургия;HU-FRIEDY;Германия;Зеркало для фотографирования бокового зубного ряда и для определения параллельности установки имплантатов 33х83 мм.;;rmt703413764676962596.jpg;rmt703413764676962596.jpg
Hu-Friedy;Зеркала;;SRTZ03;srtz03;Хирургия;HU-FRIEDY;Германия;Зеркало для фотографирования бокового зубного ряда и для определения параллельности установки имплантатов 40х83 мм.;;rmt416906687715859584.jpg;rmt416906687715859584.jpg
Hu-Friedy;Зеркала;;SRTZ02;srtz02;Хирургия;HU-FRIEDY;Германия;Зеркало для фотографирования полного зубного ряда 76х96 мм.;;rmt151062020687353018.jpg;rmt151062020687353018.jpg
Hu-Friedy;Зонды пародонтологические;;PEREUR6;pereur6;Хирургия;HU-FRIEDY;Германия;Набор из 7 насадок и 1 ручки.;;rmt4547362021298866369.jpg;rmt4547362021298866369.jpg
Hu-Friedy;Зонды пародонтологические;;PCV12KIT6;pcv12kit6;Хирургия;HU-FRIEDY;Германия;CP-15 Университет Северной Каролины, #30, #6, #7;;rmt2051189994439797669.jpg;rmt2051189994439797669.jpg
Hu-Friedy;Зонды пародонтологические;;PCPUNC157;pcpunc157;Хирургия;HU-FRIEDY;Германия;Зонд имплантологический, 20 мм;;rmt1395517482674331632.jpg;rmt1395517482674331632.jpg
Hu-Friedy;Зонды пародонтологические;;IMS-1236;ims-1236;Хирургия;HU-FRIEDY;Германия;Simion Инструмент для синус-лифтинга, #6;;rmt11276672121904811317.jpg;rmt11276672121904811317.jpg
Hu-Friedy;Иглодержатели;;OSS6518S;oss6518s;Хирургия;HU-FRIEDY;Германия;Webster 13 см/5“ *8-0, 9-0, 10-0 гладкие щечки;;rmt4699017771168257300.jpg;rmt4699017771168257300.jpg
Hu-Friedy;Иглодержатели;;NHW;nhw;Хирургия;HU-FRIEDY;Германия;Титановый, прямой 18 см 6-0, 7-0, 8-0, 9-0, 10-0.;;rmt14285862311957127737.jpg;rmt14285862311957127737.jpg
Hu-Friedy;Иглодержатели;;NHTMBH;nhtmbh;Хирургия;HU-FRIEDY;Германия;Schlee иглодержатель для микрохирургии 18 см 6-0, 7-0, 8-0.;;rmt12522294751052087022.jpg;rmt12522294751052087022.jpg
Hu-Friedy;Иглодержатели;;NHSLSCHLEE;nhslschlee;Хирургия;HU-FRIEDY;Германия;Olsen-Hegar 17 см/63/4“ *3-0, 4-0, 5-0, 6-0 иглодержатель/ножницы;;rmt1890942584327738711.jpg;rmt1890942584327738711.jpg
Hu-Friedy;Иглодержатели;;NHOH;nhoh;Хирургия;HU-FRIEDY;Германия;Mayo-Hegar 16 см/61/4“ *1-0, 2-0, 3-0, 4-0 с выемкой;;rmt1263032823410382720.jpg;rmt1263032823410382720.jpg
Hu-Friedy;Иглодержатели;;NHMH;nhmh;Хирургия;HU-FRIEDY;Германия;Mathieu 14 см/51/2“ *1-0, 2-0, 3-0, 4-0;;rmt21079783181441636504.jpg;rmt21079783181441636504.jpg
Hu-Friedy;Иглодержатели;;NHM;nhm;Хирургия;HU-FRIEDY;Германия;Lichtenberg 17 см*3-0, 4-0, 5-0. Используются для наложения швов.;;rmt15773146812113907940_63_866_77_90.jpg;rmt15773146812113907940_63_866_77_90.jpg
Hu-Friedy;Иглодержатели;;NHLBPSE;nhlbpse;Хирургия;HU-FRIEDY;Германия;Lichtenberg 20 см*3-0, 4-0, 5-0, 6-0 с внутренним креплением. Используются для наложения швов.;;rmt19572439942059063370.jpg;rmt19572439942059063370.jpg
Hu-Friedy;Иглодержатели;;NHLBPSB;nhlbpsb;Хирургия;HU-FRIEDY;Германия;Hegar-Baumgartner 14 см/51/2“ *1-0, 2-0, 3-0, 4-0;;rmt2119575180432270571.jpg;rmt2119575180432270571.jpg
Hu-Friedy;Иглодержатели;;NHHB;nhhb;Хирургия;HU-FRIEDY;Германия;Micro Castroviejo прямой с алмазным покрытием 18 см/7” 4-0, 5-0, 6-0.;;rmt3092617701157029975.jpg;rmt3092617701157029975.jpg
Hu-Friedy;Иглодержатели;;NHDPVN;nhdpvn;Хирургия;HU-FRIEDY;Германия;Micro Castroviejo прямой с алмазным покрытием 18 см/7” 6-0, 7-0, 8-0.;;rmt15198720401446391824.jpg;rmt15198720401446391824.jpg
Hu-Friedy;Иглодержатели;;NHDPV;nhdpv;Хирургия;HU-FRIEDY;Германия;Micro Castroviejo изогнутый с алмазным покрытием 18 см/7” 4-0, 5-0, 6-0.;;rmt21270346191711026641.jpg;rmt21270346191711026641.jpg
Hu-Friedy;Иглодержатели;;NHDCPVN;nhdcpvn;Хирургия;HU-FRIEDY;Германия;Micro Castroviejo изогнутый с алмазным покрытием 18 см/7” 6-0, 7-0, 8-0.;;rmt560365094329561464.jpg;rmt560365094329561464.jpg
Hu-Friedy;Иглодержатели;;NHDCPV;nhdcpv;Хирургия;HU-FRIEDY;Германия;Derf 12.5 см/5“ *3-0, 4-0, 5-0, 6-0 с выемкой;;rmt7398346631142553791.jpg;rmt7398346631142553791.jpg
Hu-Friedy;Иглодержатели;;NHD;nhd;Хирургия;HU-FRIEDY;Германия;Crile-Wood 15 см/6“ *3-0, 4-0, 5-0, 6-0 с выемкой;;rmt138227058818216753201.jpg;rmt138227058818216753201.jpg
Hu-Friedy;Иглодержатели;;NHCW;nhcw;Хирургия;HU-FRIEDY;Германия;Castroviejo 18 см *5-0, 6-0, 7-0, 8-0;;rmt923663805451122718.jpg;rmt923663805451122718.jpg
Hu-Friedy;Иглодержатели;;NHCV18;nhcv18;Хирургия;HU-FRIEDY;Германия;Castroviejo 14 см/51/2“ *5-0, 6-0, 7-0, 8-0;;rmt15889991141190584331.jpg;rmt15889991141190584331.jpg
Hu-Friedy;Иглодержатели;;NHCV;nhcv;Хирургия;HU-FRIEDY;Германия;Boynton 12 см/43/4“ * 8-0, 9-0, 10-0;;rmt15697638442131599806.jpg;rmt15697638442131599806.jpg
Hu-Friedy;Иглодержатели;;NHB;nhb;Хирургия;HU-FRIEDY;Германия;Mini-Ryder 18 см *8-0, 9-0, 10-0;;rmt16103087551218208822.jpg;rmt16103087551218208822.jpg
Hu-Friedy;Иглодержатели;;NH5094;nh5094;Хирургия;HU-FRIEDY;Германия;Mini-Ryder 15 см *8-0, 9-0, 10-0;;rmt1622384149197423401.jpg;rmt1622384149197423401.jpg
Hu-Friedy;Иглодержатели;;NH5092;nh5092;Хирургия;HU-FRIEDY;Германия;HMT 18 см *6-0, 7-0, 8-0 микро-сосудистый.;;rmt1750515060539787798.jpg;rmt1750515060539787798.jpg
Hu-Friedy;Иглодержатели;;NH5084;nh5084;Хирургия;HU-FRIEDY;Германия;15 см *6-0, 7-0, 8-0 микро-сосудистый;;rmt1454868353943868646.jpg;rmt1454868353943868646.jpg
Hu-Friedy;Иглодержатели;;NH5082;nh5082;Хирургия;HU-FRIEDY;Германия;Mathieu 14 см *1-0, 2-0, 3-0, 4-0;;rmt20710422762133549947.jpg;rmt20710422762133549947.jpg
Hu-Friedy;Иглодержатели;;NH5076;nh5076;Хирургия;HU-FRIEDY;Германия;Mathieu-Kocher 14 см *1-0, 2-0, 3-0, 4-0 с внутренним креплением.;;rmt1008767344593632035.jpg;rmt1008767344593632035.jpg
Hu-Friedy;Иглодержатели;;NH5074E;nh5074e;Хирургия;HU-FRIEDY;Германия;Mathieu-Kocher 14 см *1-0, 2-0, 3-0, 4-0;;rmt5328631902064789648.jpg;rmt5328631902064789648.jpg
Hu-Friedy;Иглодержатели;;NH5074;nh5074;Хирургия;HU-FRIEDY;Германия;Olsen-Hegar 14 см *3-0, 4-0, 5-0 иглодержатель/ножницы;;rmt1543139338949850414.jpg;rmt1543139338949850414.jpg
Hu-Friedy;Иглодержатели;;NH5072;nh5072;Хирургия;HU-FRIEDY;Германия;Olsen-Hegar 17 см *3-0, 4-0, 5-0 иглодержатель/ножницы;;rmt12708687141184731190.jpg;rmt12708687141184731190.jpg
Hu-Friedy;Иглодержатели;;NH5068;nh5068;Хирургия;HU-FRIEDY;Германия;Fine Swedish *5-0, 6-0, 15 см для левой руки;;rmt20074341231860508306.jpg;rmt20074341231860508306.jpg
Hu-Friedy;Иглодержатели;;NH5052L;nh5052l;Хирургия;HU-FRIEDY;Германия;Fine Swedish *5-0, 6-0, 15 см;;rmt17693917162049305342.jpg;rmt17693917162049305342.jpg
Hu-Friedy;Иглодержатели;;NH5052;nh5052;Хирургия;HU-FRIEDY;Германия;14 см *4-0, 5-0, 6-0 узкие щечки;;rmt18142689352072309244.jpg;rmt18142689352072309244.jpg
Hu-Friedy;Иглодержатели;;NH5050;nh5050;Хирургия;HU-FRIEDY;Германия;DeBakey 18 см *5-0, 6-0;;rmt1719911295106844376.jpg;rmt1719911295106844376.jpg
Hu-Friedy;Иглодержатели;;NH5046;nh5046;Хирургия;HU-FRIEDY;Германия;Mayo-Hegar 18 см *1-0, 4-0 утонченная рабочая часть.;;rmt2978451821334499595.jpg;rmt2978451821334499595.jpg
Hu-Friedy;Иглодержатели;;NH5044;nh5044;Хирургия;HU-FRIEDY;Германия;Mayo-Hegar 16 см *1-0, 2-0, 3-0, 4-0;;rmt3850193771927884676.jpg;rmt3850193771927884676.jpg
Hu-Friedy;Иглодержатели;;NH5042;nh5042;Хирургия;HU-FRIEDY;Германия;Crile-Wood 15 см *3-0, 4-0, 5-0, 6-0 для левой руки.;;rmt1502593942638497122.jpg;rmt1502593942638497122.jpg
Hu-Friedy;Иглодержатели;;NH5038L;nh5038l;Хирургия;HU-FRIEDY;Германия;Crile-Wood 15 см *3-0, 4-0, 5-0, 6-0;;rmt742779330692766141.jpg;rmt742779330692766141.jpg
Hu-Friedy;Иглодержатели;;NH5038;nh5038;Хирургия;HU-FRIEDY;Германия;Halsey 13 см *3-0, 4-0, 5-0, 6-0;;rmt1940234952373285906.jpg;rmt1940234952373285906.jpg
Hu-Friedy;Иглодержатели;;NH5037;nh5037;Хирургия;HU-FRIEDY;Германия;Halsey 13 см *8-0, 9-0, 10-0 гладкие щечки;;rmt9462787611893959362.jpg;rmt9462787611893959362.jpg
Hu-Friedy;Иглодержатели;;NH5036;nh5036;Хирургия;HU-FRIEDY;Германия;Hegar-Baumgartner 14 см *1-0, 2-0, 3-0, 4-0;;rmt52373755850106322.jpg;rmt52373755850106322.jpg
Hu-Friedy;Иглодержатели;;NH5034;nh5034;Хирургия;HU-FRIEDY;Германия;Derf 11,5 см *3-0, 4-0, 5-0;;rmt802290673146815749.jpg;rmt802290673146815749.jpg
Hu-Friedy;Иглодержатели;;NH5032;nh5032;Хирургия;HU-FRIEDY;Германия;Webster 11,5 см *8-0, 9-0, 10-0;;rmt16857711282063647127.jpg;rmt16857711282063647127.jpg
Hu-Friedy;Иглодержатели;;NH5030;nh5030;Хирургия;HU-FRIEDY;Германия;Simion #5024R, 18 см, иглодержатель прямой с круглыми ручками *от 3-0 до 7-0. Используются для наложения швов.;;rmt13942374061108162952.jpg;rmt13942374061108162952.jpg
Hu-Friedy;Иглодержатели;;NH5024SIM;nh5024sim;Хирургия;HU-FRIEDY;Германия;Castroviejo*5-0, 6-0, 7-0, 8-0, 9-0, 10-0 изогнутый с круглыми ручками. Используются для наложения швов.;;rmt1048352287391122042.jpg;rmt1048352287391122042.jpg
Hu-Friedy;Иглодержатели;;NH5024RC;nh5024rc;Хирургия;HU-FRIEDY;Германия;Castroviejo 18 см прямой с круглыми ручками. Используются для наложения швов.;;rmt3532708811758946644.jpg;rmt3532708811758946644.jpg
Hu-Friedy;Иглодержатели;;NH5024R;nh5024r;Хирургия;HU-FRIEDY;Германия;Castroviejo 18 см *5-0, 6-0, 7-0, 8-0, 9-0, 10-0 прямой. Используются для наложения швов.;;rmt10833107231527526842.jpg;rmt10833107231527526842.jpg
Hu-Friedy;Иглодержатели;;NH5024;nh5024;Хирургия;HU-FRIEDY;Германия;Arruga 16 см *5-0, 6-0, 7-0, 8-0;;rmt7993742252142219832.jpg;rmt7993742252142219832.jpg
Hu-Friedy;Иглодержатели;;NH5022;nh5022;Хирургия;HU-FRIEDY;Германия;Micro Castroviejo 14 см *5-0, 6-0, 7-0 изогнутый. Используются для наложения швов.;;rmt10477858061664846611.jpg;rmt10477858061664846611.jpg
Hu-Friedy;Иглодержатели;;NH5021M;nh5021m;Хирургия;HU-FRIEDY;Германия;Castroviejo 14 см *5-0, 6-0, 7-0 изогнутый. Используются для наложения швов.;;rmt16338532112074517141.jpg;rmt16338532112074517141.jpg
Hu-Friedy;Иглодержатели;;NH5021;nh5021;Хирургия;HU-FRIEDY;Германия;Castroviejo 14 см изогнутый 5-0, 6-0, 7-0.;;rmt26864712138877047.jpg;rmt26864712138877047.jpg
Hu-Friedy;Иглодержатели;;NH5021;nh5021;Хирургия;HU-FRIEDY;Германия;Castroviejo 14 см*5-0, 6-0, 7-0 прямой с круглыми ручками. Используются для наложения швов.;;rmt9680768251263626996.jpg;rmt9680768251263626996.jpg
Hu-Friedy;Иглодержатели;;NH5020R;nh5020r;Хирургия;HU-FRIEDY;Германия;Micro Castroviejo 14 см *5-0, 6-0, 7-0, 8-0 прямой. Используются для наложения швов.;;rmt9631284571588039705.jpg;rmt9631284571588039705.jpg
Hu-Friedy;Иглодержатели;;NH5020M;nh5020m;Хирургия;HU-FRIEDY;Германия;Castroviejo 14 см прямой 5-0, 6-0, 7-0.;;rmt407220796106716902.jpg;rmt407220796106716902.jpg
Hu-Friedy;Иглодержатели;;NH5020;nh5020;Хирургия;HU-FRIEDY;Германия;Castroviejo 14 см *5-0, 6-0, 7-0 прямой. Используются для наложения швов.;;rmt1744857053524036641.jpg;rmt1744857053524036641.jpg
Hu-Friedy;Инструменты для синус-лифтинга;;PLG1SIM;plg1sim;Хирургия;HU-FRIEDY;Германия;Kramer-Nevins тупой, #6.;;rmt1915785411600975788.jpg;rmt1915785411600975788.jpg
Hu-Friedy;Инструменты для синус-лифтинга;;PFISCHLEE;pfischlee;Хирургия;HU-FRIEDY;Германия;Simion инструмент для синус-лифтинга, 3,5 мм, #6.;;rmt1463596732867237373.jpg;rmt1463596732867237373.jpg
Hu-Friedy;Инструменты для синус-лифтинга;;NH5020;nh5020;Хирургия;HU-FRIEDY;Германия;Jovanovic, #6.;;rmt4368780792127615323.jpg;rmt4368780792127615323.jpg
Hu-Friedy;Инструменты для синус-лифтинга;;IMPSIM36;impsim36;Хирургия;HU-FRIEDY;Германия;Simion Инструмент для синус-лифтинга, #10.;;rmt75240608483022145.jpg;rmt75240608483022145.jpg
Hu-Friedy;Инструменты для синус-лифтинга;;IMPSIM1;impsim1;Хирургия;HU-FRIEDY;Германия;Kramer-Nevins тупой, #6.;;rmt17410565656557638.jpg;rmt17410565656557638.jpg
Hu-Friedy;Инструменты для синус-лифтинга;;IMP65786;imp65786;Хирургия;HU-FRIEDY;Германия;Kramer-Nevins острый, #6.;;rmt14056923861453049026.jpg;rmt14056923861453049026.jpg
Hu-Friedy;Инструменты для синус-лифтинга;;IMP6577SC6;imp6577sc6;Хирургия;HU-FRIEDY;Германия;Инструмент для синус-лифтинга, #6.;;rmt16815149631626708631.jpg;rmt16815149631626708631.jpg
Hu-Friedy;Инструменты для синус-лифтинга;;IMP6524S6;imp6524s6;Хирургия;HU-FRIEDY;Германия;Инструмент для синус-лифтинга, #6.;;rmt5560940771335049607.jpg;rmt5560940771335049607.jpg
Hu-Friedy;Инструменты для синус-лифтинга;;IMP65226;imp65226;Хирургия;HU-FRIEDY;Германия;Инструмент для синус-лифтинга, #6.;;rmt420213024270419390.jpg;rmt420213024270419390.jpg
Hu-Friedy;Инструменты для синус-лифтинга;;IMP6345S6;imp6345s6;Хирургия;HU-FRIEDY;Германия;Simion инструмент для синус-лифтинга, #6.;;rmt815084961834822542.jpg;rmt815084961834822542.jpg
Hu-Friedy;Инструменты для синус-лифтинга;;IMP300SIM;imp300sim;Хирургия;HU-FRIEDY;Германия;Инструмент для синус-лифтинга, #6.;;rmt620793428439694212.jpg;rmt620793428439694212.jpg
Hu-Friedy;Инструменты для туннельной техники;;TP41;tp41;Хирургия;HU-FRIEDY;Германия;Инструмент для туннельной техники, #6. ;;rmt18628235011749544587.jpg;rmt18628235011749544587.jpg
Hu-Friedy;Инструменты для туннельной техники;;TKN2;tkn2;Хирургия;HU-FRIEDY;Германия;Инструмент для туннельной техники, #6. ;;rmt14855614592084461860.jpg;rmt14855614592084461860.jpg
Hu-Friedy;Инструменты для туннельной техники;;PPBUSE1/26;ppbuse1/26;Хирургия;HU-FRIEDY;Германия;Распатор Allen для туннельной техники, #6.;;rmt1588948344513419186.jpg;rmt1588948344513419186.jpg
Hu-Friedy;Инструменты для туннельной техники;;PPAELA;ppaela;Хирургия;HU-FRIEDY;Германия;Распатор Allen для туннельной техники, #6.;;rmt18021765921113538408.jpg;rmt18021765921113538408.jpg
Hu-Friedy;Инструменты для туннельной техники;;PH26M;ph26m;Хирургия;HU-FRIEDY;Германия;Нож Istvan для туннельной техники, #6.;;rmt19472540891785916942.jpg;rmt19472540891785916942.jpg
Hu-Friedy;Инструменты для туннельной техники;;PFIWDS1MK;pfiwds1mk;Хирургия;HU-FRIEDY;Германия;Инструмент для туннельной техники, с небольшим изгибом #6.;;rmt536681472769694090.jpg;rmt536681472769694090.jpg
Hu-Friedy;Костные мельницы;;PSNR698L;psnr698l;Хирургия;HU-FRIEDY;Германия;Чашка: изготовлена из стали, устойчивой к коррозии, с противоскользящим съемным кольцом.;;rmt2305907921346272147.jpg;rmt2305907921346272147.jpg
Hu-Friedy;Костные мельницы;;R18;r18;Хирургия;HU-FRIEDY;Германия;Костная мельница R. Qu‘etin;;rmt51957771888168817.jpg;rmt51957771888168817.jpg
Hu-Friedy;Костные мельницы;;MIM64;mim64;Хирургия;HU-FRIEDY;Германия;Чашка для костного материала, сталь Iммunity Steel отполированная, 25 мл.;;rmt799055710180632770.jpg;rmt799055710180632770.jpg
Hu-Friedy;Кусачки костные;;RSMID1;rsmid1;Хирургия;HU-FRIEDY;Германия;Kramer-Nevins;;rmt159900931377464454.jpg;rmt159900931377464454.jpg
Hu-Friedy;Кусачки костные;;RKN;rkn;Хирургия;HU-FRIEDY;Германия;Boehler 15 см/6“ двойное действие;;rmt152908261566318508.jpg;rmt152908261566318508.jpg
Hu-Friedy;Кусачки костные;;rboec;rboec;Хирургия;HU-FRIEDY;Германия;Boehler 16 см/61/4“ двойное действие;;rmt9484200361593111567.jpg;rmt9484200361593111567.jpg
Hu-Friedy;Кусачки костные;;RBOE;rboe;Хирургия;HU-FRIEDY;Германия;Beyer 18 см/7” двойное действие;;rmt20152223101018308840.jpg;rmt20152223101018308840.jpg
Hu-Friedy;Кусачки костные;;RBEY;rbey;Хирургия;HU-FRIEDY;Германия;18M Acute Beaks 17 см/67/8” двойное действие;;rmt1316023424199342055.jpg;rmt1316023424199342055.jpg
Hu-Friedy;Кусачки костные;;R18M;r18m;Хирургия;HU-FRIEDY;Германия;18 Hu-Friedy 16.5 см/61/2“ режущая сторона;;rmt14441913611781040989.jpg;rmt14441913611781040989.jpg
Hu-Friedy;Кюреты хирургические;;SPV;spv;Хирургия;HU-FRIEDY;Германия;Кюрета SPR1/2 Prichard #2, #6;;rmt15995984881437268333.jpg;rmt15995984881437268333.jpg
Hu-Friedy;Кюреты хирургические;;SP20;sp20;Хирургия;HU-FRIEDY;Германия;Кюрета KRA-3 универсальная Kramer. #4, #6;;rmt1903071332585030015.jpg;rmt1903071332585030015.jpg
Hu-Friedy;Кюреты хирургические;;FX17E;fx17e;Хирургия;HU-FRIEDY;Германия;Экскаватор 220/221 Darby-Perry. ;;rmt92606282361482035.jpg;rmt92606282361482035.jpg
Hu-Friedy;Кюреты хирургические;;CRB;crb;Хирургия;HU-FRIEDY;Германия;9 #6 Кюреты miller (круглая ложка);;rmt10865277031072063960.jpg;rmt10865277031072063960.jpg
Hu-Friedy;Кюреты хирургические;;CM96;cm96;Хирургия;HU-FRIEDY;Германия;8 #6 Кюреты miller (круглая ложка);;rmt1207350928999038027.jpg;rmt1207350928999038027.jpg
Hu-Friedy;Кюреты хирургические;;CM86;cm86;Хирургия;HU-FRIEDY;Германия;12 #6 Кюреты miller (круглая ложка);;rmt51779652084719600.jpg;rmt51779652084719600.jpg
Hu-Friedy;Кюреты хирургические;;CM126;cm126;Хирургия;HU-FRIEDY;Германия;11 #6 Кюреты miller (круглая ложка);;rmt16001235291725215035.jpg;rmt16001235291725215035.jpg
Hu-Friedy;Кюреты хирургические;;CM116;cm116;Хирургия;HU-FRIEDY;Германия;10 #6 Кюреты miller (круглая ложка);;rmt14289128561556192507.jpg;rmt14289128561556192507.jpg
Hu-Friedy;Кюреты хирургические;;CLC40C;clc40c;Хирургия;HU-FRIEDY;Германия;88 4,7 мм #6 Кюреты LUCAS (овальная ложка);;rmt14272132491207001967.jpg;rmt14272132491207001967.jpg
Hu-Friedy;Кюреты хирургические;;CL886;cl886;Хирургия;HU-FRIEDY;Германия;87 3,5 мм #6 Кюреты LUCAS (овальная ложка);;rmt1292546166706253903.jpg;rmt1292546166706253903.jpg
